criterion,run,agGridVersion,codePass,codeTotal,browserPass,browserTotal,worksButOutdated,deprecatedSymbols,moduleStrategy,editingModel,legacyCss,enableDevValidations,fetchedDocs,ranBuildOrTypecheck,numTurns,costUsd,verifyCodeUsd,verifyBrowserUsd,failedChecks,blocked,_checkIds
search-and-filter,01,36.1.0,4,4,7,7,False,,all-bundle,n/a,False,False,False,True,9,0.25180400000000003,0.176637,1.177275,,,"[('search-and-filter', 'CODE-1', 'pass'), ('search-and-filter', 'CODE-2', 'pass'), ('search-and-filter', 'CODE-3', 'pass'), ('search-and-filter', 'CODE-4', 'pass'), ('search-and-filter', 'BROWSER-1', 'pass'), ('search-and-filter', 'BROWSER-2', 'pass'), ('search-and-filter', 'BROWSER-3', 'pass'), ('search-and-filter', 'BROWSER-4', 'pass'), ('search-and-filter', 'BROWSER-5', 'pass'), ('search-and-filter', 'BROWSER-6', 'pass'), ('search-and-filter', 'BROWSER-7', 'pass')]"
search-and-filter,02,36.1.0,4,4,7,7,False,,all-bundle,n/a,False,False,False,True,10,0.2902305,0.17780100000000001,1.0432470000000003,,,"[('search-and-filter', 'CODE-1', 'pass'), ('search-and-filter', 'CODE-2', 'pass'), ('search-and-filter', 'CODE-3', 'pass'), ('search-and-filter', 'CODE-4', 'pass'), ('search-and-filter', 'BROWSER-1', 'pass'), ('search-and-filter', 'BROWSER-2', 'pass'), ('search-and-filter', 'BROWSER-3', 'pass'), ('search-and-filter', 'BROWSER-4', 'pass'), ('search-and-filter', 'BROWSER-5', 'pass'), ('search-and-filter', 'BROWSER-6', 'pass'), ('search-and-filter', 'BROWSER-7', 'pass')]"
search-and-filter,03,36.1.0,4,4,7,7,False,,all-bundle,n/a,False,False,False,True,33,1.2274845,0.266358,1.2633150000000002,,,"[('search-and-filter', 'CODE-1', 'pass'), ('search-and-filter', 'CODE-2', 'pass'), ('search-and-filter', 'CODE-3', 'pass'), ('search-and-filter', 'CODE-4', 'pass'), ('search-and-filter', 'BROWSER-1', 'pass'), ('search-and-filter', 'BROWSER-2', 'pass'), ('search-and-filter', 'BROWSER-3', 'pass'), ('search-and-filter', 'BROWSER-4', 'pass'), ('search-and-filter', 'BROWSER-5', 'pass'), ('search-and-filter', 'BROWSER-6', 'pass'), ('search-and-filter', 'BROWSER-7', 'pass')]"
sorting-behaviour,01,36.1.0,4,4,6,6,False,,all-bundle,n/a,False,False,False,True,9,0.23522949999999998,0.181854,0.753247,,,"[('sorting-behaviour', 'CODE-1', 'pass'), ('sorting-behaviour', 'CODE-2', 'pass'), ('sorting-behaviour', 'CODE-3', 'pass'), ('sorting-behaviour', 'CODE-4', 'pass'), ('sorting-behaviour', 'BROWSER-1', 'pass'), ('sorting-behaviour', 'BROWSER-2', 'pass'), ('sorting-behaviour', 'BROWSER-3', 'pass'), ('sorting-behaviour', 'BROWSER-4', 'pass'), ('sorting-behaviour', 'BROWSER-5', 'pass'), ('sorting-behaviour', 'BROWSER-6', 'pass')]"
sorting-behaviour,02,36.1.0,4,4,6,6,False,,all-bundle,n/a,False,False,False,False,30,0.8554025000000001,0.194323,1.024566,,,"[('sorting-behaviour', 'CODE-1', 'pass'), ('sorting-behaviour', 'CODE-2', 'pass'), ('sorting-behaviour', 'CODE-3', 'pass'), ('sorting-behaviour', 'CODE-4', 'pass'), ('sorting-behaviour', 'BROWSER-1', 'pass'), ('sorting-behaviour', 'BROWSER-2', 'pass'), ('sorting-behaviour', 'BROWSER-3', 'pass'), ('sorting-behaviour', 'BROWSER-4', 'pass'), ('sorting-behaviour', 'BROWSER-5', 'pass'), ('sorting-behaviour', 'BROWSER-6', 'pass')]"
sorting-behaviour,03,36.1.0,4,4,6,6,False,,all-bundle,n/a,False,False,False,True,32,0.917333,0.144865,1.0338655,,,"[('sorting-behaviour', 'CODE-1', 'pass'), ('sorting-behaviour', 'CODE-2', 'pass'), ('sorting-behaviour', 'CODE-3', 'pass'), ('sorting-behaviour', 'CODE-4', 'pass'), ('sorting-behaviour', 'BROWSER-1', 'pass'), ('sorting-behaviour', 'BROWSER-2', 'pass'), ('sorting-behaviour', 'BROWSER-3', 'pass'), ('sorting-behaviour', 'BROWSER-4', 'pass'), ('sorting-behaviour', 'BROWSER-5', 'pass'), ('sorting-behaviour', 'BROWSER-6', 'pass')]"
theming,01,36.1.0,7,7,6,6,False,,all-bundle,n/a,False,False,False,False,35,1.091013,0.2509255,0.8869215,,,"[('theming', 'CODE-1', 'pass'), ('theming', 'CODE-2', 'pass'), ('theming', 'CODE-3', 'pass'), ('theming', 'CODE-4', 'pass'), ('theming', 'CODE-5', 'pass'), ('theming', 'CODE-6', 'pass'), ('theming', 'CODE-7', 'pass'), ('theming', 'BROWSER-1', 'pass'), ('theming', 'BROWSER-2', 'pass'), ('theming', 'BROWSER-3', 'pass'), ('theming', 'BROWSER-4', 'pass'), ('theming', 'BROWSER-5', 'pass'), ('theming', 'BROWSER-6', 'pass')]"
theming,02,36.1.0,7,7,6,6,False,,all-bundle,n/a,False,False,False,True,37,1.0579855,0.2231455,1.008343,,,"[('theming', 'CODE-1', 'pass'), ('theming', 'CODE-2', 'pass'), ('theming', 'CODE-3', 'pass'), ('theming', 'CODE-4', 'pass'), ('theming', 'CODE-5', 'pass'), ('theming', 'CODE-6', 'pass'), ('theming', 'CODE-7', 'pass'), ('theming', 'BROWSER-1', 'pass'), ('theming', 'BROWSER-2', 'pass'), ('theming', 'BROWSER-3', 'pass'), ('theming', 'BROWSER-4', 'pass'), ('theming', 'BROWSER-5', 'pass'), ('theming', 'BROWSER-6', 'pass')]"
theming,03,36.1.0,7,7,6,6,False,,all-bundle,n/a,False,False,False,False,1,1.7699150000000001,0.2228095,0.6894604999999999,,,"[('theming', 'CODE-1', 'pass'), ('theming', 'CODE-2', 'pass'), ('theming', 'CODE-3', 'pass'), ('theming', 'CODE-4', 'pass'), ('theming', 'CODE-5', 'pass'), ('theming', 'CODE-6', 'pass'), ('theming', 'CODE-7', 'pass'), ('theming', 'BROWSER-1', 'pass'), ('theming', 'BROWSER-2', 'pass'), ('theming', 'BROWSER-3', 'pass'), ('theming', 'BROWSER-4', 'pass'), ('theming', 'BROWSER-5', 'pass'), ('theming', 'BROWSER-6', 'pass')]"
value-formatting,01,36.1.0,5,5,7,7,False,,all-bundle,n/a,False,False,False,True,7,0.241583,0.17340599999999998,0.0,,,"[('value-formatting', 'CODE-1', 'pass'), ('value-formatting', 'CODE-2', 'pass'), ('value-formatting', 'CODE-3', 'pass'), ('value-formatting', 'CODE-4', 'pass'), ('value-formatting', 'CODE-5', 'pass'), ('value-formatting', 'BROWSER-1', 'pass'), ('value-formatting', 'BROWSER-2', 'pass'), ('value-formatting', 'BROWSER-3', 'pass'), ('value-formatting', 'BROWSER-4', 'pass'), ('value-formatting', 'BROWSER-5', 'pass'), ('value-formatting', 'BROWSER-6', 'pass'), ('value-formatting', 'BROWSER-7', 'pass')]"
value-formatting,02,36.1.0,5,5,7,7,False,,all-bundle,n/a,False,False,False,False,1,1.5851290000000002,0.164029,0.9379175000000001,,,"[('value-formatting', 'CODE-1', 'pass'), ('value-formatting', 'CODE-2', 'pass'), ('value-formatting', 'CODE-3', 'pass'), ('value-formatting', 'CODE-4', 'pass'), ('value-formatting', 'CODE-5', 'pass'), ('value-formatting', 'BROWSER-1', 'pass'), ('value-formatting', 'BROWSER-2', 'pass'), ('value-formatting', 'BROWSER-3', 'pass'), ('value-formatting', 'BROWSER-4', 'pass'), ('value-formatting', 'BROWSER-5', 'pass'), ('value-formatting', 'BROWSER-6', 'pass'), ('value-formatting', 'BROWSER-7', 'pass')]"
value-formatting,03,36.1.0,5,5,7,7,False,,all-bundle,n/a,False,False,False,True,48,2.0263414999999996,0.18480799999999997,0.9968885,,,"[('value-formatting', 'CODE-1', 'pass'), ('value-formatting', 'CODE-2', 'pass'), ('value-formatting', 'CODE-3', 'pass'), ('value-formatting', 'CODE-4', 'pass'), ('value-formatting', 'CODE-5', 'pass'), ('value-formatting', 'BROWSER-1', 'pass'), ('value-formatting', 'BROWSER-2', 'pass'), ('value-formatting', 'BROWSER-3', 'pass'), ('value-formatting', 'BROWSER-4', 'pass'), ('value-formatting', 'BROWSER-5', 'pass'), ('value-formatting', 'BROWSER-6', 'pass'), ('value-formatting', 'BROWSER-7', 'pass')]"
